company_id,name,website,linkedin_url,category,description,context,usp,icp_score,icp_reason
CO001,Zodia Custody,,,,Regulated institutional crypto custodian backed by Standard Chartered,Became the first global custodian to support AUDM stablecoin custody,"A regulated institutional crypto custodian backed by Standard Chartered, providing compliant digital asset safekeeping for institutions.",97,"Regulated custodian; errors mean permanent loss of institutional funds"
CO002,SG Forge,,,,Societe Generale's regulated digital assets subsidiary,Partnered with Deutsche Börse Group to integrate CoinVertible stablecoins into traditional finance; launched EUR CoinVertible on XRP Ledger,"SG-Forge is Societe Generale's regulated digital assets subsidiary that issues tokenized bonds and structured products on public blockchains under full regulatory compliance.",97,"Regulated bank issuing tokenized securities; errors carry severe legal and financial cost"
CO003,Taurus,,,,Swiss-regulated digital asset custody and tokenization platform,Expanded partnership with Scorechain for integrated blockchain analytics (Feb 2026),"Taurus is a Swiss-regulated digital asset custody and tokenization platform serving banks and financial institutions with institutional-grade infrastructure.",96,"Regulated custodian; loss of assets is permanent and legal"
CO004,Ethereum,http://www.ethereum.org,http://www.linkedin.com/company/ethereum,Protocol,"Ethereum is the foundational smart contract platform underpinning trillions in on-chain value.",Published 2026 Protocol Priorities — quantum-resistant cryptography; gas limit beyond 100M; Verkle tree migration and Beam Chain proposal moving to active consideration,,,"Core protocol decisions carry existential financial and reputational stakes"
CO005,Tangem,http://www.tangem.com,http://www.linkedin.com/company/tangem,Hardware Wallet,"Tangem builds NFC-enabled hardware wallets and payment cards that store private keys directly on a secure chip.",Tangem Pay launched onchain USDC spending via Visa across US/LATAM/APAC; received US patent for private key backup; MiCA-driven EU/UK expansion slated for Q1 2026,,,"Ships security-critical hardware at scale with irreversible consequences"
CO006,Day One Law,https://www.dayonelaw.xyz/,,,Legal,"Works with a lot of different projects across the entire Web3 industry",,,,
CO007,Urban Sovereign Group,https://www.urbansovereigngroup.com/,,,Consulting,"Consulting firm with access to clients that need engineering services",,,,
CO008,QuillAudits,https://www.quillaudits.com/,,,Security,"Security audit firm working with high-value protocol clients",,,,
CO009,BitGo,,,,Custody,"Leading institutional digital asset custodian and infrastructure provider.",Raised $212.8M in its IPO — first crypto listing of 2026,95,"Regulated custodian with billions AUC; mistakes are catastrophic and irreversible"
CO010,Kraken,,,,Exchange,"Major regulated cryptocurrency exchange.",Announced acquisition of NinjaTrader — largest TradFi-crypto deal — advancing multi-asset trading,90,"Exchange errors cause financial loss, regulatory sanctions, reputational damage"
